Scheduling code,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+2hr),Video Guides,Address,Address Var,Form Question,Form Controls,Form Option to Display,ConfirmationMsg Template,Form Entry,Duplicate class,No. Regular S,No. Signups,Total Signups,Signups / Capacity,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Level,Level1,Subject,Subject1,Subject2,Centre,Tutor,Checked (ops),Uncontacted Count
Pri JunCC<>P6 2026<>Pri - Math<>Elva<>Wednesday<>King Albert Park<>KAP-2<>15<>17 Jun<>12:00 pm<>,Pri JunCC,P6 2026,Pri - Math,Elva,Wednesday,King Albert Park,KAP-2,15,17 Jun (Wed),12:00:00 PM,P6 Math,Heuristics Revision,6/17/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Math,Closed - Running,,P6 Math - King Albert Park - 17 Jun Wed 12:30PM,[P6 Math] King Albert Park | 17 Jun (Wed) | 12:30PM - 02:30PM,0,,16,16,16 / 15,,16 |  | 15,0.00%,P6,Pri,PMath,PMath,PMath,King Albert Park,Elva,FALSE,0
Pri JunCC<>P5 2026<>Pri - Science<>Chen Hong<>Monday<>King Albert Park<>KAP-3<>15<>15 Jun<>10:00 am<>,Pri JunCC,P5 2026,Pri - Science,Chen Hong,Monday,King Albert Park,KAP-3,15,15 Jun (Mon),10:00:00 AM,P5 Science,Introduction to Electricity,6/15/2026,10:00AM - 12:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Science,Open - Running,[P5 Science] King Albert Park | 15 Jun (Mon) | 10:00AM - 12:00PM,P5 Science - King Albert Park - 15 Jun Mon 10:00AM,[P5 Science] King Albert Park | 15 Jun (Mon) | 10:00AM - 12:00PM,0,,14,14,14 / 15,,14 |  | 15,0.00%,P5,Pri,PSci,PSci,PSci,King Albert Park,Chen Hong,FALSE,2
Pri JunCC<>P6 2026<>Pri - Science<>Chen Hong<>Tuesday<>King Albert Park<>KAP-3<>15<>16 Jun<>1:00 pm<>,Pri JunCC,P6 2026,Pri - Science,Chen Hong,Tuesday,King Albert Park,KAP-3,15,16 Jun (Tue),1:00:00 PM,P6 Science,Introduction to Water Cycle,6/16/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Science,Open - Running,[P6 Science] King Albert Park | 16 Jun (Tue) | 12:30PM - 02:30PM,P6 Science - King Albert Park - 16 Jun Tue 12:30PM,[P6 Science] King Albert Park | 16 Jun (Tue) | 12:30PM - 02:30PM,0,,15,15,15 / 15,,15 |  | 15,0.00%,P6,Pri,PSci,PSci,PSci,King Albert Park,Chen Hong,FALSE,3
Pri JunCC<>P5 2026<>Pri - Science<>Vivien<>Friday<>King Albert Park<>KAP-3<>15<>19 Jun<>10:00 am<>,Pri JunCC,P5 2026,Pri - Science,Vivien,Friday,King Albert Park,KAP-3,15,19 Jun (Fri),10:00:00 AM,P5 Science,Introduction to Electricity,6/19/2026,10:00AM - 12:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Science,Open - Running,[P5 Science] King Albert Park | 19 Jun (Fri) | 10:00AM - 12:00PM,P5 Science - King Albert Park - 19 Jun Fri 10:00AM,[P5 Science] King Albert Park | 19 Jun (Fri) | 10:00AM - 12:00PM,0,,6,6,6 / 15,,6 |  | 15,0.00%,P5,Pri,PSci,PSci,PSci,King Albert Park,Vivien,FALSE,1
Pri JunCC<>P6 2026<>Pri - Science<>Vivien<>Friday<>King Albert Park<>KAP-3<>15<>19 Jun<>12:00 pm<>,Pri JunCC,P6 2026,Pri - Science,Vivien,Friday,King Albert Park,KAP-3,15,19 Jun (Fri),12:00:00 PM,P6 Science,Introduction to Water Cycle,6/19/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Science,Closed - Running,,P6 Science - King Albert Park - 19 Jun Fri 12:30PM,[P6 Science] King Albert Park | 19 Jun (Fri) | 12:30PM - 02:30PM,0,,10,10,10 / 15,,10 |  | 15,0.00%,P6,Pri,PSci,PSci,PSci,King Albert Park,Vivien,FALSE,2
Pri JunCC<>P6 2026<>Pri - Eng<>Kayley<>Friday<>King Albert Park<>KAP-4<>18<>19 Jun<>10:00 am<>,Pri JunCC,P6 2026,Pri - Eng,Kayley,Friday,King Albert Park,KAP-4,18,19 Jun (Fri),10:00:00 AM,P6 English,Comprehension Open-ended,6/19/2026,10:00AM - 12:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 English,Closed - Running,,P6 English - King Albert Park - 19 Jun Fri 10:00AM,[P6 English] King Albert Park | 19 Jun (Fri) | 10:00AM - 12:00PM,0,,16,16,16 / 18,,16 |  | 18,0.00%,P6,Pri,PEng,PEng,PEng,King Albert Park,Kayley,FALSE,0
Pri JunCC<>P5 2026<>Pri - Eng<>Kayley<>Friday<>King Albert Park<>KAP-4<>18<>19 Jun<>12:00 pm<>,Pri JunCC,P5 2026,Pri - Eng,Kayley,Friday,King Albert Park,KAP-4,18,19 Jun (Fri),12:00:00 PM,P5 English,CW: Falling Action and Conclusion,6/19/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 English,Open - Running,[P5 English] King Albert Park | 19 Jun (Fri) | 12:30PM - 02:30PM,P5 English - King Albert Park - 19 Jun Fri 12:30PM,[P5 English] King Albert Park | 19 Jun (Fri) | 12:30PM - 02:30PM,0,,11,11,11 / 18,,11 |  | 18,0.00%,P5,Pri,PEng,PEng,PEng,King Albert Park,Kayley,FALSE,1
Pri JunCC<>P6 2026<>Pri - Eng<>Kayley<>Saturday<>King Albert Park<>KAP-2<>15<>20 Jun<>2:00 pm<>,Pri JunCC,P6 2026,Pri - Eng,Kayley,Saturday,King Albert Park,KAP-2,15,20 Jun (Sat),2:00:00 PM,P6 English,Comprehension Open-ended,6/20/2025,02:00PM - 04:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 English,Open - Running,[P6 English] King Albert Park | 20 Jun (Sat) | 02:00PM - 04:00PM,P6 English - King Albert Park - 20 Jun Sat 02:00PM,[P6 English] King Albert Park | 20 Jun (Sat) | 02:00PM - 04:00PM,0,,10,10,10 / 15,,10 |  | 15,0.00%,P6,Pri,PEng,PEng,PEng,King Albert Park,Kayley,FALSE,3
Pri JunCC<>P5 2026<>Pri - Eng<>Kayley<>Saturday<>King Albert Park<>KAP-2<>15<>20 Jun<>4:00 pm<>,Pri JunCC,P5 2026,Pri - Eng,Kayley,Saturday,King Albert Park,KAP-2,15,20 Jun (Sat),4:00:00 PM,P5 English,CW: Falling Action and Conclusion,6/20/2025,04:00PM - 06:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 English,Open - Running,[P5 English] King Albert Park | 20 Jun (Sat) | 04:00PM - 06:00PM,P5 English - King Albert Park - 20 Jun Sat 04:00PM,[P5 English] King Albert Park | 20 Jun (Sat) | 04:00PM - 06:00PM,0,,1,1,1 / 15,,1 |  | 15,0.00%,P5,Pri,PEng,PEng,PEng,King Albert Park,Kayley,FALSE,0
Pri JunCC<>P6 2026<>Pri - Eng<>Kayley<>Saturday<>King Albert Park<>KAP-2<>15<>27 Jun<>2:00 pm<>,Pri JunCC,P6 2026,Pri - Eng,Kayley,Saturday,King Albert Park,KAP-2,15,27 Jun (Sat),2:00:00 PM,P6 English,Comprehension Open-ended,6/27/2025,02:00PM - 04:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 English,Open - Running,[P6 English] King Albert Park | 27 Jun (Sat) | 02:00PM - 04:00PM,P6 English - King Albert Park - 27 Jun Sat 02:00PM,[P6 English] King Albert Park | 27 Jun (Sat) | 02:00PM - 04:00PM,0,,3,3,3 / 15,,3 |  | 15,0.00%,P6,Pri,PEng,PEng,PEng,King Albert Park,Kayley,FALSE,1
