Scheduling code,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+2hr),Video Guides,Address,Address Var,Form Question,Form Controls,Form Option to Display,ConfirmationMsg Template,Form Entry,Duplicate class,No. Regular S,No. Signups,Total Signups,Signups / Capacity,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Level,Level1,Subject,Subject1,Subject2,Centre,Tutor,Checked (ops),Uncontacted Count
Pri SepCC<>P4 2026<>Pri - Eng<>Jolene<>Tuesday<>King Albert Park<>KAP-1<>15<>8 Sep<>3:30 pm<>,Pri SepCC,P4 2026,Pri - Eng,Jolene,Tuesday,King Albert Park,KAP-1,15,08 Sep (Tue),3:30:00 PM,P4 English,Comprehension Open-Ended & Comprehension Close,9/8/2026,03:30PM - 05:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P4 English,Closed - Running,,P4 English - King Albert Park - 08 Sep Tue 03:30PM,[P4 English] King Albert Park | 08 Sep (Tue) | 03:30PM - 05:00PM,0,,4,4,4 / 15,,4 |  | 15,0.00%,P4,Pri,PEng,PEng,PEng,King Albert Park,Jolene,FALSE,0
Pri SepCC<>P5 2026<>Pri - Math<>Mahadir<>Sunday<>King Albert Park<>KAP-4<>18<>13 Sep<>11:00 am<>,Pri SepCC,P5 2026,Pri - Math,Mahadir,Sunday,King Albert Park,KAP-4,18,13 Sep (Sun),11:00:00 AM,P5 Math,Heuristics Revision,9/13/2026,11:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Math,Open - Running,[P5 Math] King Albert Park | 13 Sep (Sun) | 11:00AM - 01:00PM,P5 Math - King Albert Park - 13 Sep Sun 11:00AM,[P5 Math] King Albert Park | 13 Sep (Sun) | 11:00AM - 01:00PM,0,,5,5,5 / 18,,5 |  | 18,0.00%,P5,Pri,PMath,PMath,PMath,King Albert Park,Mahadir,FALSE,0
Pri SepCC<>P4 2026<>Pri - Math<>Mahadir<>Sunday<>King Albert Park<>KAP-4<>18<>13 Sep<>2:00 pm<>,Pri SepCC,P4 2026,Pri - Math,Mahadir,Sunday,King Albert Park,KAP-4,18,13 Sep (Sun),2:00:00 PM,P4 Math,Heuristics Revision,9/13/2026,02:00PM - 03:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P4 Math,Open - Running,[P4 Math] King Albert Park | 13 Sep (Sun) | 02:00PM - 03:30PM,P4 Math - King Albert Park - 13 Sep Sun 02:00PM,[P4 Math] King Albert Park | 13 Sep (Sun) | 02:00PM - 03:30PM,0,,3,3,3 / 18,,3 |  | 18,0.00%,P4,Pri,PMath,PMath,PMath,King Albert Park,Mahadir,FALSE,0
Pri SepCC<>P5 2026<>Pri - Science<>Chen Hong<>Wednesday<>Jurong Point<>JP-2<>32<>9 Sep<>12:00 pm<>,Pri SepCC,P5 2026,Pri - Science,Chen Hong,Wednesday,Jurong Point,JP-2,32,09 Sep (Wed),12:00:00 PM,P5 Science,Water Cycle Revision,9/9/2026,12:30PM - 02:30PM,https://tinyurl.com/ZenithJPVideoGuide,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886  (Video Guide: https://tinyurl.com/ZenithJPVideoGuide),P5 Science,Closed - Running,,P5 Science - Jurong Point - 09 Sep Wed 12:30PM,[P5 Science] Jurong Point | 09 Sep (Wed) | 12:30PM - 02:30PM,0,,8,8,8 / 32,,8 |  | 32,0.00%,P5,Pri,PSci,PSci,PSci,Jurong Point,Chen Hong,FALSE,0
Pri SepCC<>P4 2026<>Pri - Science<>Chen Hong<>Tuesday<>Jurong Point<>JP-3<>17<>8 Sep<>10:00 am<>,Pri SepCC,P4 2026,Pri - Science,Chen Hong,Tuesday,Jurong Point,JP-3,17,08 Sep (Tue),10:00:00 AM,P4 Science,Heat Energy Revision,9/8/2026,10:00AM - 11:30AM,https://tinyurl.com/ZenithJPVideoGuide,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886  (Video Guide: https://tinyurl.com/ZenithJPVideoGuide),P4 Science,Closed - Running,,P4 Science - Jurong Point - 08 Sep Tue 10:00AM,[P4 Science] Jurong Point | 08 Sep (Tue) | 10:00AM - 11:30AM,0,,8,8,8 / 17,,8 |  | 17,0.00%,P4,Pri,PSci,PSci,PSci,Jurong Point,Chen Hong,FALSE,0
Pri SepCC<>P4 2026<>Pri - Math<>Mahadir<>Tuesday<>Jurong Point<>JP-3<>17<>8 Sep<>3:00 pm<>,Pri SepCC,P4 2026,Pri - Math,Mahadir,Tuesday,Jurong Point,JP-3,17,08 Sep (Tue),3:00:00 PM,P4 Math,Heuristics Revision,9/8/2026,03:00PM - 04:30PM,https://tinyurl.com/ZenithJPVideoGuide,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886  (Video Guide: https://tinyurl.com/ZenithJPVideoGuide),P4 Math,Closed - Running,,P4 Math - Jurong Point - 08 Sep Tue 03:00PM,[P4 Math] Jurong Point | 08 Sep (Tue) | 03:00PM - 04:30PM,0,,8,8,8 / 17,,8 |  | 17,0.00%,P4,Pri,PMath,PMath,PMath,Jurong Point,Mahadir,FALSE,0
Pri SepCC<>P5 2026<>Pri - Math<>Mahadir<>Tuesday<>Jurong Point<>JP-3<>17<>8 Sep<>5:00 pm<>,Pri SepCC,P5 2026,Pri - Math,Mahadir,Tuesday,Jurong Point,JP-3,17,08 Sep (Tue),5:00:00 PM,P5 Math,Heuristics Revision,9/8/2026,05:00PM - 07:00PM,https://tinyurl.com/ZenithJPVideoGuide,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886  (Video Guide: https://tinyurl.com/ZenithJPVideoGuide),P5 Math,Closed - Running,,P5 Math - Jurong Point - 08 Sep Tue 05:00PM,[P5 Math] Jurong Point | 08 Sep (Tue) | 05:00PM - 07:00PM,0,,8,8,8 / 17,,8 |  | 17,0.00%,P5,Pri,PMath,PMath,PMath,Jurong Point,Mahadir,FALSE,0
Pri SepCC<>P4 2026<>Pri - Science<>Chen Hong<>Friday<>Jurong Point<>JP-3<>17<>11 Sep<>12:00 pm<>,Pri SepCC,P4 2026,Pri - Science,Chen Hong,Friday,Jurong Point,JP-3,17,11 Sep (Fri),12:00:00 PM,P4 Science,Heat Energy Revision,9/11/2026,12:30PM - 02:00PM,https://tinyurl.com/ZenithJPVideoGuide,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886,1 Jurong West Central 2 Jurong Point 1 #03-07A S648886  (Video Guide: https://tinyurl.com/ZenithJPVideoGuide),P4 Science,Open - Running,[P4 Science] Jurong Point | 11 Sep (Fri) | 12:30PM - 02:00PM,P4 Science - Jurong Point - 11 Sep Fri 12:30PM,[P4 Science] Jurong Point | 11 Sep (Fri) | 12:30PM - 02:00PM,0,,5,5,5 / 17,,5 |  | 17,0.00%,P4,Pri,PSci,PSci,PSci,Jurong Point,Chen Hong,FALSE,1
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,FALSE,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,FALSE,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,FALSE,
Manually Enterred,,,,,,,,,,,,,,,,,,,Closed - Running,,#VALUE!,[]  |  | ,0,,0,0,0 / ,,0 |  | ,,,,,,,,,FALSE,0
Pri SepCC<>P5 2026<>Pri - Math<>Kaiying<>Tuesday<>Bishan<>BS-1<>15<>15 Sep<>10:00 am<>,Pri SepCC,P5 2026,Pri - Math,Kaiying,Tuesday,Bishan,BS-1,15,15 Sep (Tue),10:00:00 AM,P5 Math,Heuristics Revision,9/15/2026,10:00AM - 12:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Math,Open - Running,[P5 Math] Bishan | 15 Sep (Tue) | 10:00AM - 12:00PM,P5 Math - Bishan - 15 Sep Tue 10:00AM,[P5 Math] Bishan | 15 Sep (Tue) | 10:00AM - 12:00PM,0,,7,7,7 / 15,,7 |  | 15,0.00%,P5,Pri,PMath,PMath,PMath,Bishan CC,Kaiying,FALSE,3
Pri SepCC<>P5 2026<>Pri - Science<>Chen Hong<>Tuesday<>King Albert Park<>KAP-1<>15<>15 Sep<>12:00 pm<>,Pri SepCC,P5 2026,Pri - Science,Chen Hong,Tuesday,King Albert Park,KAP-1,15,15 Sep (Tue),12:00:00 PM,P5 Science,Water Cycle Revision,9/15/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Science,Closed - Running,,P5 Science - King Albert Park - 15 Sep Tue 12:30PM,[P5 Science] King Albert Park | 15 Sep (Tue) | 12:30PM - 02:30PM,0,,12,12,12 / 15,,12 |  | 15,0.00%,P5,Pri,PSci,PSci,PSci,King Albert Park,Chen Hong,FALSE,0
Pri SepCC<>P4 2026<>Pri - Eng<>Jolene<>Tuesday<>King Albert Park<>KAP-1<>15<>15 Sep<>3:30 pm<>,Pri SepCC,P4 2026,Pri - Eng,Jolene,Tuesday,King Albert Park,KAP-1,15,15 Sep (Tue),3:30:00 PM,P4 English,Comprehension Open-Ended & Comprehension Close,9/15/2026,03:30PM - 05:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P4 English,Open - Running,[P4 English] King Albert Park | 15 Sep (Tue) | 03:30PM - 05:00PM,P4 English - King Albert Park - 15 Sep Tue 03:30PM,[P4 English] King Albert Park | 15 Sep (Tue) | 03:30PM - 05:00PM,0,,2,2,2 / 15,,2 |  | 15,0.00%,P4,Pri,PEng,PEng,PEng,King Albert Park,Jolene,FALSE,1
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,FALSE,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0 |  | ,,,,,,,,,,0
